,Genre,Console,Rating,Global_Sales,Critic_Count,User_Count,Release Date,Score
347,Shooter,Wii,T,650.0,11.0,26.0,7,6.0
348,Action,PS3,T,490.0,22.0,28.0,8,6.150000000000001
349,Action,X360,T,190.0,30.0,18.0,8,6.0
350,Role-Playing,DS,E10+,290.0,23.0,18.0,9,6.599999999999999
351,Adventure,PSP,M,90.0,25.0,20.0,8,6.45
352,Action,Wii,E10+,640.0,18.0,10.0,8,6.849999999999999
353,Role-Playing,DS,E,50.0,24.0,20.0,8,6.099999999999999
354,Role-Playing,Wii,E10+,250.0,29.0,11.0,8,6.550000000000001
355,Party,X360,E,21810.0,45.0,106.0,9,6.45
356,Role-Playing,PS3,T,930.0,77.0,213.0,9,6.8
357,Action,DS,E10+,140.0,16.0,4.0,8,5.849999999999999
358,Role-Playing,DS,E10+,120.0,30.0,17.0,4,6.0
359,Sports,Wii,E10+,290.0,5.0,6.0,8,6.199999999999999
360,Role-Playing,PS2,T,130.0,6.0,44.0,7,6.0
361,Role-Playing,Wii,T,70.0,22.0,24.0,7,5.599999999999999
362,Action,PSP,T,120.0,33.0,25.0,9,6.5
363,Action,Wii,T,720.0,32.0,28.0,8,5.55
364,Misc,Wii,E,570.0,11.0,425.0981912144703,8,6.650000000000001
365,Misc,Wii,E,620.0,48.86294416243655,425.0981912144703,8,5.900000000000001
366,Puzzle,DS,E,1350.0,17.0,4.0,8,6.25
367,Simulation,PC,T,3050.0,74.0,2057.0,13,6.400000000000001
368,Action,PS3,M,200.0,52.0,27.0,8,6.099999999999999
369,Action,X360,M,240.0,70.0,57.0,8,6.050000000000001
370,Action,PS3,T,740.0,45.0,57.0,8,5.8
371,Shooter,X360,M,110.0,61.0,73.0,10,5.15
372,Action,PSP,M,1230.0,38.0,69.0,8,5.849999999999999
373,Action,X360,E10+,110.0,15.0,8.0,8,5.349999999999999
374,Action,X360,T,630.0,58.0,110.0,8,5.599999999999999
375,Misc,Wii,E,28920.0,41.0,129.0,6,5.233333333333333
376,Sports,Wii,E,120.0,20.0,14.0,8,6.150000000000001
377,Misc,Wii,E,1350.0,16.0,6.0,8,5.7
378,Shooter,Wii,E10+,1000.0,12.0,6.0,8,6.25
379,Puzzle,PSP,T,30.0,35.0,6.0,6,5.25
380,Action,X360,T,240.0,59.0,22.0,8,4.25
381,Adventure,DS,T,50.0,20.0,425.0981912144703,7,5.3
382,Adventure,DS,T,110.0,5.0,425.0981912144703,8,4.5
383,Misc,Wii,E,50.0,16.0,425.0981912144703,8,4.5
384,Puzzle,DS,E10+,60.0,6.0,425.0981912144703,8,4.7
385,Role-Playing,PS3,T,90.0,30.0,34.0,9,4.5
386,Misc,X360,T,240.0,31.0,10.0,10,4.65
387,Action,X360,M,260.0,39.0,332.0,9,5.933333333333334
388,Adventure,DS,T,70.0,37.0,15.0,8,4.85
389,Misc,PSP,M,180.0,34.0,37.0,9,4.1
390,Simulation,DS,E10+,100.0,48.86294416243655,425.0981912144703,9,3.5
391,Action,PS3,T,500.0,30.0,28.0,7,3.5
392,Action,Wii,E10+,60.0,13.0,425.0981912144703,8,3.9500000000000006
393,Shooter,Wii,M,130.0,13.0,17.0,7,3.9
394,Shooter,X360,M,180.0,46.0,55.0,8,4.25
395,Strategy,PC,M,20.0,15.0,22.0,8,3.1
396,Sports,Wii,E,160.0,5.0,32.0,7,4.15
397,Action,PS3,M,320.0,30.0,23.0,7,4.5
398,Action,X360,M,330.0,33.0,33.0,7,5.5
