,Title,Year,Genre,Rating,Director,Votes
171,Metal Gear Solid 2: Sons of Liberty,2001.0,"['Action', 'Adventure', 'Drama']",9.0,Hideo Kojima,8225
172,Jagged Alliance 2,1999.0,,9.0,Ian Currie,299
173,Sûpâ Mario korekushon,1993.0,"['Action', 'Adventure', 'Family']",9.0,,1018
174,The Longest Journey,1999.0,"['Adventure', 'Fantasy', 'Mystery']",9.0,Didrik Tollefsen,1127
175,The Neverhood,1996.0,"['Adventure', 'Comedy', 'Mystery']",9.0,Doug TenNapel,548
176,Final Fantasy VI,1994.0,"['Adventure', 'Crime', 'Fantasy']",9.0,Hiroyuki Itô,2323
177,Day of the Tentacle,1993.0,"['Adventure', 'Comedy', 'Sci-Fi']",9.0,Dave Grossman,1797
178,Baldur's Gate,1998.0,"['Action', 'Adventure', 'Fantasy']",9.0,Feargus Urquhart,1776
179,The Beast Within: A Gabriel Knight Mystery,1996.0,"['Adventure', 'Drama', 'Horror']",9.0,Will Binder,746
180,Zootopia: Dreaming People,2018.0,"['Adventure', 'Family']",8.9,,12
181,Faiâ emuburemu: Fuuka setsugetsu,2019.0,"['Adventure', 'Drama', 'Fantasy']",8.9,Toshiyuki Kusakihara,521
182,Ryuu ga gotoku: Kiwami 2,2017.0,"['Action', 'Adventure']",8.9,Hiroyuki Sakamoto,488
183,Umineko When They Cry Chiru,2009.0,"['Fantasy', 'Mystery']",8.9,Ryukishi07,29
184,Blackwell Convergence,2009.0,"['Adventure', 'Mystery']",8.9,Rebecca Whittaker,132
185,Kathy Rain,2016.0,['Adventure'],8.9,Kyle Arzaga,170
186,Steins;Gate,2009.0,"['Comedy', 'Drama', 'Romance']",8.9,Mamoru Miyano,270
187,Death Stranding,2019.0,"['Action', 'Adventure', 'Drama']",8.9,Hideo Kojima,6709
188,Deus Ex: Human Revolution - Director's Cut,2013.0,"['Action', 'Sci-Fi']",8.9,Jean-François Dugas,108
189,Der Eisendrache,2016.0,"['Action', 'Drama', 'Horror']",8.9,Corky Lehmkuhl,196
190,Deep Sleep,2012.0,"['Adventure', 'Horror', 'Mystery']",8.9,Scriptwelder,11
191,Undertale,2015.0,"['Adventure', 'Comedy', 'Family']",8.9,Toby Fox,2632
192,NieR: Automata,2017.0,"['Action', 'Adventure', 'Sci-Fi']",8.9,Yoko Taro,2371
193,Life Is Strange,2015.0,"['Adventure', 'Drama', 'Mystery']",8.9,Raoul Barbet,10787
194,Fairy Fencer F,2013.0,['Fantasy'],8.9,Ryôta Ôsaka,98
195,Tales from the Borderlands: A Telltale Games Series,2014.0,"['Adventure', 'Comedy', 'Fantasy']",8.9,Martin Montgomery,3617
196,Zeruda no densetsu: Kaze no takuto HD,2013.0,"['Action', 'Adventure', 'Fantasy']",8.9,Daiki Iwamoto,1289
197,The Wolf Among Us,2013.0,"['Action', 'Adventure', 'Crime']",8.9,Nick Herman,6491
198,Black Sails: Das Geisterschiff,2010.0,['Adventure'],8.9,Jan Klose,76
199,Kyokugen dasshutsu: adobencha zennin shibo desu,2012.0,"['Adventure', 'Mystery', 'Sci-Fi']",8.9,Valerie Arem,212
200,Far Cry 3,2012.0,"['Action', 'Adventure']",8.9,Laurent Bernier,17352
201,South Park: The Stick of Truth,2014.0,"['Action', 'Adventure', 'Comedy']",8.9,Chris Parker,4347
202,Wiedzmin 2: Zabójcy królów,2011.0,"['Action', 'Adventure', 'Drama']",8.9,Adam Badowski,5032
203,Super Mario Galaxy 2,2010.0,"['Action', 'Adventure', 'Family']",8.9,Koichi Hayashida,2189
204,Alan Wake Remastered,2021.0,"['Action', 'Adventure', 'Horror']",8.9,Petri Järvilehto,59
205,Heroes of Might and Magic III: The Shadow of Death,2000.0,"['Action', 'Adventure', 'Fantasy']",8.9,David Mullich,583
206,Big Chungus,2018.0,['Action'],8.9,Gary The Taco,8
207,Kingudamu hâtsu: Bâsu bai surîpu,2010.0,"['Action', 'Adventure', 'Fantasy']",8.9,Tetsuya Nomura,1529
208,There Is No Game: Wrong Dimension,2020.0,"['Adventure', 'Comedy']",8.9,Pascal Cammisotto,42
209,Blaseball,2020.0,"['Horror', 'Sport']",8.9,,9
210,Monkey Island 2: LeChuck's Revenge - Special Edition,2010.0,['Adventure'],8.9,Craig Derrick,25
211,Tony Hawk's Pro Skater 1 + 2,2020.0,['Sport'],8.9,Tony Hawk,274
212,NieR Replicant: ver.1.22474487139...,2021.0,"['Action', 'Adventure', 'Fantasy']",8.9,Yoko Taro,206
213,Sherlock: The Network,2014.0,['Crime'],8.9,Sven Arnstein,70
214,Jesus Strikes Back - Judgment Day,2019.0,"['Action', 'Sci-Fi']",8.9,,9
215,Xenoblade Chronicles: Definitive Edition,2020.0,"['Action', 'Adventure', 'Fantasy']",8.8,Michihiko Inaba,138
216,Okami,2006.0,"['Action', 'Adventure', 'Fantasy']",8.9,Hideki Kamiya,1238
217,Championship Manager 2001/02,2001.0,['Sport'],8.9,Stuart D. Latham,186
218,Grand Theft Auto IV,2008.0,"['Action', 'Adventure', 'Comedy']",8.9,Michael Hollick,33079
219,Little Big Adventure 2,1997.0,['Adventure'],8.9,Frédérick Raynal,208
220,The Warriors,2005.0,"['Action', 'Crime']",8.9,James Remar,1772
221,The Elder Scrolls IV: Oblivion,2006.0,"['Action', 'Adventure', 'Fantasy']",8.9,Todd Howard,11893
